"";"2000";"3000";"5000";"2000";"3000";"5000";"2000";"3000";"5000"
"0.4";5,9;5,3;5,8;26,1;18,1;11,2;4,5;6,1;5,3
"0.45";5,9;5,9;5,4;28;19,4;12,3;5,5;5,9;5,5
"0.5";6;6,2;5,1;30,1;20,5;14,1;6;5,5;5
"0.55";6,7;5,4;3,9;35,7;23;15,6;5,8;5,5;5,7
"0.6";5,9;5;5,9;37;27,5;18,4;5,5;5,5;4,5
"0.65";5,4;5,9;5,1;43,5;30,9;20,4;5,3;5;5,1
"0.7";6,2;6;4,8;50,1;37,2;24,9;6,7;6,2;5,5
"0.75";5,7;5,1;6,3;59,2;45,6;29,3;6,4;5,8;5,6
"0.8";6,3;6,2;4,8;69,6;53,6;38,5;6,6;6,4;5,1
"0.85";6,2;5,3;4,3;79,8;67,2;50,2;8,4;6,6;6
"0.9";7,2;5,1;6,3;91,6;81,7;66,5;10,8;9;6,2
